hospital_name,last_updated_on,as_of_date,version,hospital_location,hospital_address,license_number|NJ,financial_aid_policy,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,
SMR PRIM SRC CPLX SPEC STAIN OVA&PARASITS,4500036902,CDM,300,RC,87209,HCPCS,Facility,Inpatient,,,127,50.8,WELLCARE,ALL PRODUCTS,,,,,,,,4,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
IAAD IA GIARDIA,4500036903,CDM,300,RC,87329,HCPCS,Facility,Inpatient,,,119,47.6,WELLCARE,ALL PRODUCTS,,,,,,,,4,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
DULAGLUTIDE 0.75 MG/0.5ML SC SOPN,2143301,CDM,636,RC,J3490,HCPCS,Facility,Outpatient,0.5,mL,1475.96,590.384,WELLCARE,ALL PRODUCTS,,649.4224,,0.44,649.4224,737.98,1098.11424,7,Percent of Total Billed Charges,,
DULAGLUTIDE 1.5 MG/0.5ML SC SOPN,2143401,CDM,636,RC,J3490,HCPCS,Facility,Both,0.5,mL,934.22,373.688,WELLCARE,ALL PRODUCTS,,420.399,,0.45,420.399,135.4619,695.05968,20,Percent of Total Billed Charges,,
INSULIN LISPRO 100 UNIT/ML IJ SOLN,2751017,CDM,250,RC,J1815,HCPCS,Facility,Outpatient,3,mL,72.05,26.2,WELLCARE,ALL PRODUCTS,,31.702,,0.44,31.702,10.44725,53.6052,7,Percent of Total Billed Charges,,
INSULIN LISPRO PROT & LISPRO (75-25) 100 UNIT/ML SC SUSP,2751101,CDM,250,RC,J1815,HCPCS,Facility,Outpatient,10,mL,274.307,99.748,WELLCARE,ALL PRODUCTS,,120.69508,,0.44,120.69508,39.774515,204.084408,7,Percent of Total Billed Charges,,
INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,2821517,CDM,250,RC,J1815,HCPCS,Facility,Outpatient,3,mL,25.718,9.352,WELLCARE,ALL PRODUCTS,,11.31592,,0.44,11.31592,3.72911,19.134192,7,Percent of Total Billed Charges,,
INSULIN NPH ISOPHANE & REGULAR (70-30) 100 UNIT/ML SC SUSP,2871517,CDM,250,RC,J1815,HCPCS,Facility,Outpatient,3,mL,25.718,9.352,WELLCARE,ALL PRODUCTS,,11.31592,,0.44,11.31592,3.72911,19.134192,7,Percent of Total Billed Charges,,
INSULIN LISPRO (1 UNIT DIAL) 100 UNIT/ML SC SOPN,2879901,CDM,250,RC,J1815,HCPCS,Facility,Outpatient,3,mL,102.85,37.4,WELLCARE,ALL PRODUCTS,,45.254,,0.44,45.254,14.91325,76.5204,7,Percent of Total Billed Charges,,
LIDOCAINE HCL (PF) 1 % IJ SOLN,143959501,CDM,250,RC,J3490,HCPCS,Facility,Outpatient,5,mL,7.26,2.64,WELLCARE,ALL PRODUCTS,,3.1944,,0.44,3.1944,1.0527,5.40144,7,Percent of Total Billed Charges,,
INSULIN DETEMIR 100 UNIT/ML SC SOLN,169368712,CDM,250,RC,J1815,HCPCS,Facility,Outpatient,10,mL,1641.013,596.732,WELLCARE,ALL PRODUCTS,,722.04572,,0.44,722.04572,237.946885,1220.913672,7,Percent of Total Billed Charges,,
METOCLOPRAMIDE HCL 5 MG/ML IJ SOLN,409341418,CDM,636,RC,J2765,HCPCS,Facility,Both,2,mL,5.14,2.056,WELLCARE,ALL PRODUCTS,,2.313,,0.45,2.313,0.7453,3.82416,20,Percent of Total Billed Charges,,
ATROPINE SULFATE 0.4 MG/ML IJ SOLN,517040125,CDM,636,RC,J0461,HCPCS,Facility,Both,1,mL,21.42,8.568,WELLCARE,ALL PRODUCTS,,9.639,,0.45,9.639,3.1059,15.93648,20,Percent of Total Billed Charges,,
DIPHENHYDRAMINE HCL 50 MG/ML IJ SOLN,641037621,CDM,636,RC,J1200,HCPCS,Facility,Both,1,mL,5.39,2.156,WELLCARE,ALL PRODUCTS,,2.4255,,0.45,2.4255,0.78155,4.01016,20,Percent of Total Billed Charges,,
LORAZEPAM 2 MG/ML IJ SOLN,641604401,CDM,636,RC,J2060,HCPCS,Facility,Both,1,mL,5.65,2.26,WELLCARE,ALL PRODUCTS,,2.5425,,0.45,2.5425,0.81925,4.2036,20,Percent of Total Billed Charges,,
MIDAZOLAM HCL 2 MG/2ML IJ SOLN,641605725,CDM,636,RC,J2250,HCPCS,Facility,Both,2,mL,3.15,1.26,WELLCARE,ALL PRODUCTS,,1.4175,,0.45,1.4175,0.45675,2.3436,20,Percent of Total Billed Charges,,
DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML IJ SOLN,641614501,CDM,636,RC,J1100,HCPCS,Facility,Both,1,mL,1.5,0.6,WELLCARE,ALL PRODUCTS,,0.675,,0.45,0.675,0.2175,1.116,20,Percent of Total Billed Charges,,
GLYCOPYRROLATE 0.2 MG/ML IJ SOLN,16729047163,CDM,636,RC,J3490,HCPCS,Facility,Both,1,mL,7.25,2.9,WELLCARE,ALL PRODUCTS,,3.2625,,0.45,3.2625,1.05125,5.394,20,Percent of Total Billed Charges,,
ATROPINE SULFATE 1 MG/10ML IJ SOSY,16729048445,CDM,636,RC,J0461,HCPCS,Facility,Both,10,mL,32.68,13.072,WELLCARE,ALL PRODUCTS,,14.706,,0.45,14.706,4.7386,24.31392,20,Percent of Total Billed Charges,,
ATROPINE SULFATE 0.4 MG/ML IV SOLN,16729052563,CDM,636,RC,J0461,HCPCS,Facility,Both,1,mL,17.22,6.888,WELLCARE,ALL PRODUCTS,,7.749,,0.45,7.749,2.4969,12.81168,20,Percent of Total Billed Charges,,
INSULIN GLARGINE-YFGN 100 UNIT/ML SC SOLN,49502039380,CDM,250,RC,J1815,HCPCS,Facility,Outpatient,10,mL,365.134,132.776,WELLCARE,ALL PRODUCTS,,160.65896,,0.44,160.65896,52.94443,271.659696,7,Percent of Total Billed Charges,,
COVID-19 MRNA VAC-TRIS(PFIZER) 30 MCG/0.3ML IM SUSP,59267102504,CDM,636,RC,91305,HCPCS,Facility,Both,1.8,mL,0.05,0.02,WELLCARE,ALL PRODUCTS,,0.0225,,0.45,0.0225,0.00725,0.0372,20,Percent of Total Billed Charges,,
ONDANSETRON HCL 4 MG/2ML IJ SOLN,60505613000,CDM,636,RC,J2405,HCPCS,Facility,Both,2,mL,1.29,0.516,WELLCARE,ALL PRODUCTS,,0.5805,,0.45,0.5805,0.18705,0.95976,20,Percent of Total Billed Charges,,
KETOROLAC TROMETHAMINE 30 MG/ML IJ SOLN,63323016200,CDM,636,RC,J1885,HCPCS,Facility,Both,1,mL,4.04,1.616,WELLCARE,ALL PRODUCTS,,1.818,,0.45,1.818,0.5858,3.00576,20,Percent of Total Billed Charges,,
LIDOCAINE HCL 2 % IJ SOLN,63323020202,CDM,636,RC,J3490,HCPCS,Facility,Both,2,mL,15.51,6.204,WELLCARE,ALL PRODUCTS,,6.9795,,0.45,6.9795,2.24895,11.53944,20,Percent of Total Billed Charges,,
PROPOFOL 10 MG/ML IV EMUL (IV PUSH FOR INTUBATION / SEDATION) *WRAPPED*,63323026970,CDM,636,RC,J2704,HCPCS,Facility,Both,20,mL,10.81,4.324,WELLCARE,ALL PRODUCTS,,4.8645,,0.45,4.8645,1.56745,8.04264,20,Percent of Total Billed Charges,,
PROPOFOL 10 MG/ML IV EMUL *WRAPPED*,63323026970_2,CDM,636,RC,J2704,HCPCS,Facility,Both,20,mL,10.81,4.324,WELLCARE,ALL PRODUCTS,,4.8645,,0.45,4.8645,1.56745,8.04264,20,Percent of Total Billed Charges,,
HYDRALAZINE HCL 20 MG/ML IJ SOLN,63323061400,CDM,636,RC,J0360,HCPCS,Facility,Both,1,mL,15.84,6.336,WELLCARE,ALL PRODUCTS,,7.128,,0.45,7.128,2.2968,11.78496,20,Percent of Total Billed Charges,,
DIPHENHYDRAMINE HCL 50 MG/ML IJ SOLN,63323066400,CDM,636,RC,J1200,HCPCS,Facility,Both,1,mL,3.88,1.552,WELLCARE,ALL PRODUCTS,,1.746,,0.45,1.746,0.5626,2.88672,20,Percent of Total Billed Charges,,
HALOPERIDOL LACTATE 5 MG/ML IJ SOLN,67457042600,CDM,636,RC,J1630,HCPCS,Facility,Both,1,mL,3.84,1.536,WELLCARE,ALL PRODUCTS,,1.728,,0.45,1.728,0.5568,2.85696,20,Percent of Total Billed Charges,,
SUCCINYLCHOLINE CHLORIDE 20 MG/ML IJ SOLN,70121158101,CDM,636,RC,J0330,HCPCS,Facility,Both,10,mL,31.67,12.668,WELLCARE,ALL PRODUCTS,,14.2515,,0.45,14.2515,4.59215,23.56248,20,Percent of Total Billed Charges,,
ONDANSETRON HCL 4 MG/2ML IJ SOLN,70860077641,CDM,636,RC,J2405,HCPCS,Facility,Both,2,mL,2.15,0.86,WELLCARE,ALL PRODUCTS,,0.9675,,0.45,0.9675,0.31175,1.5996,20,Percent of Total Billed Charges,,
GLYCOPYRROLATE 0.2 MG/ML IJ SOLN,71288041401,CDM,636,RC,J3490,HCPCS,Facility,Both,1,mL,3.2,1.28,WELLCARE,ALL PRODUCTS,,1.44,,0.45,1.44,0.464,2.3808,20,Percent of Total Billed Charges,,
GLYCOPYRROLATE 0.2 MG/ML IJ SOLN,71288041403,CDM,636,RC,J3490,HCPCS,Facility,Both,1,mL,3.3,1.32,WELLCARE,ALL PRODUCTS,,1.485,,0.45,1.485,0.4785,2.4552,20,Percent of Total Billed Charges,,
KETOROLAC TROMETHAMINE 30 MG/ML IJ SOLN,72266011801,CDM,636,RC,J1885,HCPCS,Facility,Both,1,mL,7.96,3.184,WELLCARE,ALL PRODUCTS,,3.582,,0.45,3.582,1.1542,5.92224,20,Percent of Total Billed Charges,,
KETOROLAC TROMETHAMINE 30 MG/ML IJ SOLN,72266011825,CDM,636,RC,J1885,HCPCS,Facility,Both,1,mL,8.23,3.292,WELLCARE,ALL PRODUCTS,,3.7035,,0.45,3.7035,1.19335,6.12312,20,Percent of Total Billed Charges,,
DIPHENHYDRAMINE HCL 50 MG/ML IJ SOLN,72485010101,CDM,636,RC,J1200,HCPCS,Facility,Both,1,mL,2.64,1.056,WELLCARE,ALL PRODUCTS,,1.188,,0.45,1.188,0.3828,1.96416,20,Percent of Total Billed Charges,,
KETOROLAC TROMETHAMINE 30 MG/ML IJ SOLN,72611072201,CDM,636,RC,J1885,HCPCS,Facility,Both,1,mL,4.28,1.712,WELLCARE,ALL PRODUCTS,,1.926,,0.45,1.926,0.6206,3.18432,20,Percent of Total Billed Charges,,
MIDAZOLAM HCL 2 MG/2ML IJ SOLN,72611074101,CDM,636,RC,J2250,HCPCS,Facility,Both,2,mL,1.99,0.796,WELLCARE,ALL PRODUCTS,,0.8955,,0.45,0.8955,0.28855,1.48056,20,Percent of Total Billed Charges,,
MIDAZOLAM HCL 2 MG/2ML IJ SOLN,72611074125,CDM,636,RC,J2250,HCPCS,Facility,Both,2,mL,1.99,0.796,WELLCARE,ALL PRODUCTS,,0.8955,,0.45,0.8955,0.28855,1.48056,20,Percent of Total Billed Charges,,
INSULIN ASPART PROT & ASPART (70-30) 100 UNIT/ML SC SUSP,73070020011,CDM,250,RC,J1815,HCPCS,Facility,Outpatient,10,mL,775.258,281.912,WELLCARE,ALL PRODUCTS,,341.11352,,0.44,341.11352,387.629,576.791952,7,Percent of Total Billed Charges,,
DIPHENHYDRAMINE HCL 50 MG/ML IJ SOLN,76045010210,CDM,636,RC,J1200,HCPCS,Facility,Both,1,mL,8.03,3.212,WELLCARE,ALL PRODUCTS,,3.6135,,0.45,3.6135,1.16435,5.97432,20,Percent of Total Billed Charges,,
KETOROLAC TROMETHAMINE 30 MG/ML IJ SOLN,76045010410,CDM,636,RC,J1885,HCPCS,Facility,Both,1,mL,7.78,3.112,WELLCARE,ALL PRODUCTS,,3.501,,0.45,3.501,1.1281,5.78832,20,Percent of Total Billed Charges,,
CARRIER PSYCH SEMI PRIVATE,1000000042,CDM,124,RC,,,Facility,Inpatient,,,3300,1320,WORKFORCE ASSISTANCE,ALL PRODUCTS,,900,,,,600,2866,25,Per Diem,,
CARRIER BLAKE SEMI-PRIVATE DETOX,1000000043,CDM,126,RC,,,Facility,Inpatient,,,2750,1100,WORKFORCE ASSISTANCE,ALL PRODUCTS,,550,,,,275,2607,25,Per Diem,,
CARRIER BLAKE SEMI-PRIVATE REHAB,1000000044,CDM,128,RC,,,Facility,Inpatient,,,2750,1100,WORKFORCE ASSISTANCE,ALL PRODUCTS,,550,,,,275,2607,25,Per Diem,,
CARRIER ADMISTRATIVE DAY RATE,1000000062,CDM,199,RC,,,Facility,Inpatient,,,3300,1320,WORKFORCE ASSISTANCE,ALL PRODUCTS,,900,,,,275,2607,25,Per Diem,,
CARRIER BLAKE SEMI-PRIVATE RESIDENTIAL,1000000045,CDM,1002,RC,,,Facility,Inpatient,,,2750,1100,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,201.6,1896,25,,,
CARRIER  ADOL REHAB SERVICE BHS,1000000046,CDM,1001,RC,,,Facility,Inpatient,,,1953,781.2,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER  ADOL REHAB SERVICE PCH,1000000047,CDM,1001,RC,,,Facility,Inpatient,,,2145,858,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER  ADOL REHAB SERVICE RTC,1000000048,CDM,1001,RC,,,Facility,Inpatient,,,1870,748,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER  ADOL REHAB SERVICE IRT,1000000049,CDM,1001,RC,,,Facility,Inpatient,,,2365,946,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER REHAB THERAPEUTIC LEAVE BHS,1000000050,CDM,1001,RC,,,Facility,Inpatient,,,1953,781.2,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER REHAB THERAPEUTIC LEAVE PCH,1000000051,CDM,1001,RC,,,Facility,Inpatient,,,2145,858,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER REHAB THERAPEUTIC LEAVE RTC,1000000052,CDM,1001,RC,,,Facility,Inpatient,,,1870,748,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER REHAB HOSPITAL LEAVE BHS,1000000053,CDM,1001,RC,,,Facility,Inpatient,,,1953,781.2,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER REHAB HOSPITAL LEAVE  PCH,1000000054,CDM,1001,RC,,,Facility,Inpatient,,,2145,858,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER HOSPITAL LEAVE REHAB RTC,1000000055,CDM,1001,RC,,,Facility,Inpatient,,,1870,748,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER THERAPEUTIC LEAVE IRT,1000000059,CDM,1001,RC,,,Facility,Inpatient,,,2365,946,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER HOSPITAL LEAVE IRT,1000000060,CDM,1001,RC,,,Facility,Inpatient,,,2365,946,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,275,1896,25,,,
IMM ADM SARSCV2 30MCG TRS-SUCR 2ND DOSE READY TO USE PFIZER,200052A001,CDM,771,RC,0052A,HCPCS,Facility,Both,,,138,55.2,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,20.01,77.556,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
COLLECTION VENOUS BLOOD VENIPUNCTURE,2036415001,CDM,300,RC,36415,HCPCS,Facility,Both,,,47,18.8,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,6.815,26.414,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX FACIAL BONES COMPLETE MINIMUM 3 VIEWS,2070150001,CDM,320,RC,70150,HCPCS,Facility,Both,,,545,218,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,79.025,79.025,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAMINATION NECK SOFT TISSUE,2070360001,CDM,320,RC,70360,HCPCS,Facility,Both,,,435,174,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,63.075,63.075,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAM CHEST SINGLE VIEW,2071045001,CDM,324,RC,71045,HCPCS,Facility,Both,,,429,171.6,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,62.205,62.205,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAM CHEST 2 VIEWS,2071046001,CDM,324,RC,71046,HCPCS,Facility,Both,,,497,198.8,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,72.065,72.065,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX RIBS UNI W/POSTEROANT CH MINIMUM 3 VIEWS,2071101001,CDM,320,RC,71101,HCPCS,Facility,Both,,,724,289.6,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,104.98,104.98,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX RIBS BI W/POSTEROANT CH MINIMUM 4 VIEWS,2071111001,CDM,320,RC,71111,HCPCS,Facility,Both,,,803,321.2,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,116.435,116.435,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX SPINE CRV COMPL W/OBLQ&FLEX&/XTN STDS,2072052001,CDM,320,RC,72052,HCPCS,Facility,Both,,,858,343.2,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,124.41,124.41,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX SPINE THORACIC 2 VIEWS,2072070001,CDM,320,RC,72070,HCPCS,Facility,Both,,,647,258.8,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,93.815,93.815,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX SPINE THORACIC 3 VIEWS,2072072001,CDM,320,RC,72072,HCPCS,Facility,Both,,,674,269.6,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,97.73,97.73,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX SPINE LUMBOSACRAL MINIMUM 4 VIEWS,2072110001,CDM,320,RC,72110,HCPCS,Facility,Both,,,1019,407.6,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,147.755,147.755,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAMINATION PELVIS 1/2 VIEWS,2072170001,CDM,320,RC,72170,HCPCS,Facility,Both,,,481,192.4,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,69.745,69.745,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX SACRUM & COCCYX MINIMUM 2 VIEWS,2072220001,CDM,320,RC,72220,HCPCS,Facility,Both,,,560,224,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,81.2,81.2,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX SHOULDER COMPLETE MINIMUM 2 VIEWS,2073030001,CDM,320,RC,73030,HCPCS,Facility,Both,,,688,275.2,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,99.76,99.76,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX ELBOW 2 VIEWS,2073070001,CDM,320,RC,73070,HCPCS,Facility,Both,,,420,168,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,60.9,60.9,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX ELBOW COMPLETE MINIMUM 3 VIEWS,2073080001,CDM,320,RC,73080,HCPCS,Facility,Both,,,578,231.2,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,83.81,83.81,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX FOREARM 2 VIEWS,2073090001,CDM,320,RC,73090,HCPCS,Facility,Both,,,578,231.2,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,83.81,83.81,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX WRIST 2 VIEWS,2073100001,CDM,320,RC,73100,HCPCS,Facility,Both,,,477,190.8,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,69.165,69.165,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX WRIST COMPLETE MINIMUM 3 VIEWS,2073110001,CDM,320,RC,73110,HCPCS,Facility,Both,,,600,240,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,87,87,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX HAND 2 VIEWS,2073120001,CDM,320,RC,73120,HCPCS,Facility,Both,,,550,220,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,79.75,79.75,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX HAND MINIMUM 3 VIEWS,2073130001,CDM,320,RC,73130,HCPCS,Facility,Both,,,550,220,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,79.75,79.75,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX HIP UNILATERAL WITH PELVIS 2-3 VIEWS,2073502001,CDM,320,RC,73502,HCPCS,Facility,Both,,,473,189.2,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,68.585,68.585,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX HIPS BILATERAL WITH PELVIS MINIMUM 5 VIEWS,2073523001,CDM,320,RC,73523,HCPCS,Facility,Both,,,781,312.4,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,113.245,113.245,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAMINATION FEMUR MINIMUM 2 VIEWS,2073552001,CDM,320,RC,73552,HCPCS,Facility,Both,,,477,190.8,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,69.165,69.165,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAMINATION KNEE 1/2 VIEWS,2073560001,CDM,320,RC,73560,HCPCS,Facility,Both,,,549,219.6,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,79.605,79.605,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAMINATION KNEE 3 VIEWS,2073562001,CDM,320,RC,73562,HCPCS,Facility,Both,,,688,275.2,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,99.76,99.76,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAM KNEE COMPLETE 4/MORE VIEWS,2073564001,CDM,320,RC,73564,HCPCS,Facility,Both,,,809,323.6,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,117.305,117.305,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAMINATION TIBIA & FIBULA 2 VIEWS,2073590001,CDM,320,RC,73590,HCPCS,Facility,Both,,,561,224.4,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,81.345,81.345,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAMINATION ANKLE 2 VIEWS,2073600001,CDM,320,RC,73600,HCPCS,Facility,Both,,,485,194,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,70.325,70.325,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX ANKLE COMPLETE MINIMUM 3 VIEWS,2073610001,CDM,320,RC,73610,HCPCS,Facility,Both,,,633,253.2,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,91.785,91.785,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAMINATION FOOT 2 VIEWS,2073620001,CDM,320,RC,73620,HCPCS,Facility,Both,,,502,200.8,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,72.79,72.79,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX FOOT COMPLETE MINIMUM 3 VIEWS,2073630001,CDM,320,RC,73630,HCPCS,Facility,Both,,,649,259.6,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,94.105,94.105,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX CALCANEUS MINIMUM 2 VIEWS,2073650001,CDM,320,RC,73650,HCPCS,Facility,Both,,,451,180.4,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,65.395,65.395,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADEX TOE MINIMUM 2 VIEWS,2073660001,CDM,320,RC,73660,HCPCS,Facility,Both,,,495,198,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,71.775,71.775,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAM ABDOMEN 1 VIEW,2074018001,CDM,320,RC,74018,HCPCS,Facility,Both,,,473,189.2,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,68.585,68.585,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
RADIOLOGIC EXAM ABDOMEN 2 VIEWS,2074019001,CDM,320,RC,74019,HCPCS,Facility,Both,,,589,235.6,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,85.405,85.405,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
GLUC BLD GLUC MNTR DEV CLEARED FDA SPEC HOME USE,2082962001,CDM,301,RC,82962,HCPCS,Facility,Both,,,83,33.2,WORKFORCE ASSISTANCE,ALL PRODUCTS,,,,,,2.34,46.646,19,Other,Service Package,"In these circumstances, the service may be packaged/bundled into a separate rate or priced through a separate carrier where the rate was not available. "
